course_code,course_title,subject,subject_name,course_number
BUSMGT 732,Business Finance,BUSMGT,Business Management,732
BUSMGT 733,Analysing Financial Statements,BUSMGT,Business Management,733
BUSMGT 734,Strategic Management Accounting,BUSMGT,Business Management,734
BUSMGT 735,Management Accounting,BUSMGT,Business Management,735
BUSMGT 741,International Business Environment,BUSMGT,Business Management,741
BUSMGT 742,International Trade and Finance,BUSMGT,Business Management,742
BUSMGT 743,Competing in Asia - Level 9,BUSMGT,Business Management,743
BUSMGT 745,International Business Strategy,BUSMGT,Business Management,745
BUSMGT 747,International Business Strategy Capstone - Level 9,BUSMGT,Business Management,747
BUSMGT 751,Marketing Management,BUSMGT,Business Management,751
BUSMGT 752,Understanding Consumers - Level 9,BUSMGT,Business Management,752
BUSMGT 754,Marketing Communications,BUSMGT,Business Management,754
BUSMGT 755,Strategic Digital Marketing,BUSMGT,Business Management,755
BUSMGT 756,Branding Strategy,BUSMGT,Business Management,756
BUSMGT 757,Marketing Strategy Capstone - Level 9,BUSMGT,Business Management,757
BUSMGT 761,International Human Resource Management,BUSMGT,Business Management,761
BUSMGT 762,Human Resource Policy and Practice,BUSMGT,Business Management,762
BUSMGT 763,Human Resource Analytics,BUSMGT,Business Management,763
BUSMGT 764,Strategic Human Resource Management,BUSMGT,Business Management,764
BUSMGT 767,Human Resource Management Strategy Capstone,BUSMGT,Business Management,767
BUSMKT 703,Marketing Research Project,BUSMKT,Business Marketing,703
BUSMKT 710,Consultancy Practice,BUSMKT,Business Marketing,710
BUSMKT 711,Consultancy Project for MMktg,BUSMKT,Business Marketing,711
CAREER 100,Crafting your Career,CAREER,Career,100
CAREER 101,Understanding Your Workplace,CAREER,Career,101
CAREER 300,Internship,CAREER,Career,300
CHEM (190),Chemistry for Medical and Life Sciences ** available as of 01/11/2026,CHEM,Chemistry,(190)
CHEM (290),Introduction to Medicinal Chemistry ** available as of 01/11/2026,CHEM,Chemistry,(290)
CHEM 100,Molecules that Changed the World,CHEM,Chemistry,100
CHEM 100G,Molecules that Changed the World,CHEM,Chemistry,100G
CHEM 110,Chemistry of the Living World,CHEM,Chemistry,110
CHEM 120,Chemistry of the Material World,CHEM,Chemistry,120
CHEM 150,Concepts in Chemistry,CHEM,Chemistry,150
CHEM 200,Special Topic,CHEM,Chemistry,200
CHEM 251,Structure and Spectroscopy,CHEM,Chemistry,251
CHEM 252,Properties and Analysis of Matter,CHEM,Chemistry,252
CHEM 253,Making Molecules: Synthesis and Isolation,CHEM,Chemistry,253
CHEM 254,Modelling Chemical Processes,CHEM,Chemistry,254
CHEM 254A,Modelling Chemical Processes,CHEM,Chemistry,254A
CHEM 254B,Modelling Chemical Processes,CHEM,Chemistry,254B
CHEM 260,Introduction to Green Chemistry,CHEM,Chemistry,260
CHEM 300,Special Topic,CHEM,Chemistry,300
CHEM 310,Structural Chemistry and Spectroscopy,CHEM,Chemistry,310
CHEM 320,Design and Reactivity of Inorganic Compounds,CHEM,Chemistry,320
CHEM 330,Contemporary Organic Chemistry,CHEM,Chemistry,330
CHEM 340,Advanced Analytical Chemistry,CHEM,Chemistry,340
CHEM 351,Chemicals Big and Small: Nano-material to Bio-macromolecules,CHEM,Chemistry,351
CHEM 360,Contemporary Green Chemistry,CHEM,Chemistry,360
CHEM 380,Materials Chemistry,CHEM,Chemistry,380
CHEM 390,Medicinal Chemistry,CHEM,Chemistry,390
CHEM 392,Issues in Drug Design and Development,CHEM,Chemistry,392
CHEM 397,Capstone: Green Chemical Science,CHEM,Chemistry,397
CHEM 398,Capstone: Medicinal Chemistry,CHEM,Chemistry,398
CHEM 399,Capstone: Chemistry,CHEM,Chemistry,399
CHEM 690A,Graduate Diploma Research Project,CHEM,Chemistry,690A
CHEM 690B,Graduate Diploma Research Project,CHEM,Chemistry,690B
CHEM 701,Directed Study,CHEM,Chemistry,701
CHEM 702,Directed Study,CHEM,Chemistry,702
CHEM 710,Advanced Physical Chemistry,CHEM,Chemistry,710
CHEM 712,Nanomaterials and Nanotechnology,CHEM,Chemistry,712
CHEM 720,Advanced Inorganic Chemistry,CHEM,Chemistry,720
CHEM 730,Modern Methods for the Synthesis of Bioactive Molecules,CHEM,Chemistry,730
CHEM 735,Advanced Medicinal Chemistry,CHEM,Chemistry,735
CHEM 738,Biomolecular Chemistry,CHEM,Chemistry,738
CHEM 740,Current Topics in Analytical Chemistry,CHEM,Chemistry,740
CHEM 741,Chemometrics and Quality Assurance in Chemistry,CHEM,Chemistry,741
CHEM 750,Advanced Topics in Chemistry 1,CHEM,Chemistry,750
CHEM 750A,Advanced Topics in Chemistry 1,CHEM,Chemistry,750A
CHEM 750B,Advanced Topics in Chemistry 1,CHEM,Chemistry,750B
CHEM 751,Advanced Topics in Chemistry 2,CHEM,Chemistry,751
CHEM 751A,Advanced Topics in Chemistry 2,CHEM,Chemistry,751A
CHEM 751B,Advanced Topics in Chemistry 2,CHEM,Chemistry,751B
CHEM 760,Advanced Green Chemistry,CHEM,Chemistry,760
CHEM 780,Advanced Materials Chemistry,CHEM,Chemistry,780
CHEM 791,Research Project,CHEM,Chemistry,791
CHEM 791A,Research Project,CHEM,Chemistry,791A
CHEM 791B,Research Project,CHEM,Chemistry,791B
CHEM 793,Honours Dissertation in Chemistry,CHEM,Chemistry,793
CHEM 793A,Honours Dissertation in Chemistry,CHEM,Chemistry,793A
CHEM 793B,Honours Dissertation in Chemistry,CHEM,Chemistry,793B
CHEM 794,Dissertation,CHEM,Chemistry,794
CHEM 794A,Dissertation,CHEM,Chemistry,794A
CHEM 794B,Dissertation,CHEM,Chemistry,794B
CHEM 795,Research Methods in Chemistry,CHEM,Chemistry,795
CHEM 796A,MSc Thesis in Chemistry,CHEM,Chemistry,796A
CHEM 796B,MSc Thesis in Chemistry,CHEM,Chemistry,796B
CHEM 91P,Preparatory Chemistry 1,CHEM,Chemistry,91P
CHEMMAT 121,Materials Science,CHEMMAT,Chemical a Materials Engineeri,121
CHEMMAT 201,Process Engineering 1: Introduction,CHEMMAT,Chemical a Materials Engineeri,201
CHEMMAT 202,Process Engineering 2: Energy and Processing,CHEMMAT,Chemical a Materials Engineeri,202
CHEMMAT 203,Process Engineering 3: Transfer Processes,CHEMMAT,Chemical a Materials Engineeri,203
CHEMMAT 204,Materials,CHEMMAT,Chemical a Materials Engineeri,204
CHEMMAT 205,Process Design 1,CHEMMAT,Chemical a Materials Engineeri,205
CHEMMAT 206,Applied Chemistry,CHEMMAT,Chemical a Materials Engineeri,206
CHEMMAT 299,Workshop Practice,CHEMMAT,Chemical a Materials Engineeri,299
CHEMMAT 301,Transfer Processes 2,CHEMMAT,Chemical a Materials Engineeri,301
CHEMMAT 302,Advanced Process Engineering,CHEMMAT,Chemical a Materials Engineeri,302
CHEMMAT 303,Chemical Reactor Engineering,CHEMMAT,Chemical a Materials Engineeri,303
CHEMMAT 304,The Future of Energy,CHEMMAT,Chemical a Materials Engineeri,304
CHEMMAT 305,Materials Processing and Performance,CHEMMAT,Chemical a Materials Engineeri,305
CHEMMAT 306,Process Design 2,CHEMMAT,Chemical a Materials Engineeri,306
CHEMMAT 712,Directed Study in Chemical Engineering,CHEMMAT,Chemical a Materials Engineeri,712
CHEMMAT 713,Advanced Chemical Engineering,CHEMMAT,Chemical a Materials Engineeri,713
CHEMMAT 717,Electrochemical Engineering,CHEMMAT,Chemical a Materials Engineeri,717
CHEMMAT 718,Aluminium Reduction Process Operations,CHEMMAT,Chemical a Materials Engineeri,718
CHEMMAT 720,Materials Design and Processing,CHEMMAT,Chemical a Materials Engineeri,720
CHEMMAT 721,Advanced Materials,CHEMMAT,Chemical a Materials Engineeri,721
CHEMMAT 722,Directed Study in Materials,CHEMMAT,Chemical a Materials Engineeri,722
CHEMMAT 723,Industrial Materials Engineering,CHEMMAT,Chemical a Materials Engineeri,723
CHEMMAT 724,Advanced Materials Characterisation - Level 9,CHEMMAT,Chemical a Materials Engineeri,724
CHEMMAT 725,Advanced Functional Materials,CHEMMAT,Chemical a Materials Engineeri,725
CHEMMAT 726,The Light Metals Industry,CHEMMAT,Chemical a Materials Engineeri,726
CHEMMAT 727,Materials Performance and Selection for Light Metals Processing,CHEMMAT,Chemical a Materials Engineeri,727
CHEMMAT 732,Advanced Design Project,CHEMMAT,Chemical a Materials Engineeri,732
CHEMMAT 732A,Advanced Design Project,CHEMMAT,Chemical a Materials Engineeri,732A
CHEMMAT 732B,Advanced Design Project,CHEMMAT,Chemical a Materials Engineeri,732B
CHEMMAT 750A,Capstone Design Project,CHEMMAT,Chemical a Materials Engineeri,750A
CHEMMAT 750B,Capstone Design Project,CHEMMAT,Chemical a Materials Engineeri,750B
CHEMMAT 751A,Research Project - Level 9,CHEMMAT,Chemical a Materials Engineeri,751A
CHEMMAT 751B,Research Project - Level 9,CHEMMAT,Chemical a Materials Engineeri,751B
CHEMMAT 752,Process Dynamics and Control,CHEMMAT,Chemical a Materials Engineeri,752
CHEMMAT 753,Biological Materials and Biomaterials,CHEMMAT,Chemical a Materials Engineeri,753
CHEMMAT 754,Materials Performance Enhancement,CHEMMAT,Chemical a Materials Engineeri,754
CHEMMAT 755,Materials for Energy and Environmental Applications,CHEMMAT,Chemical a Materials Engineeri,755
CHEMMAT 756,Food Process Engineering,CHEMMAT,Chemical a Materials Engineeri,756
CHEMMAT 757,Engineering Biotechnology,CHEMMAT,Chemical a Materials Engineeri,757
CHEMMAT 758,Resource Recovery Technologies,CHEMMAT,Chemical a Materials Engineeri,758
CHEMMAT 759,Industry 4.0 for Chemical Engineering,CHEMMAT,Chemical a Materials Engineeri,759
CHEMMAT 760,Advanced Microbial Technology in Bioprocess Engineering,CHEMMAT,Chemical a Materials Engineeri,760
CHEMMAT 761,Special Topic,CHEMMAT,Chemical a Materials Engineeri,761
CHEMMAT 762,Special Topic,CHEMMAT,Chemical a Materials Engineeri,762
CHEMMAT 763,Waste Reduction and Recycling Technologies,CHEMMAT,Chemical a Materials Engineeri,763
CHEMMAT 772,Advanced Food Process Engineering,CHEMMAT,Chemical a Materials Engineeri,772
CHEMMAT 773,Food Process Systems Engineering,CHEMMAT,Chemical a Materials Engineeri,773
CHEMMAT 774A,Dissertation in Food Process Engineering,CHEMMAT,Chemical a Materials Engineeri,774A
CHEMMAT 774B,Dissertation in Food Process Engineering,CHEMMAT,Chemical a Materials Engineeri,774B
CHEMMAT 775A,Dissertation in Food Process Engineering,CHEMMAT,Chemical a Materials Engineeri,775A
CHEMMAT 775B,Dissertation in Food Process Engineering,CHEMMAT,Chemical a Materials Engineeri,775B
CHEMMAT 776A,Thesis - Level 9,CHEMMAT,Chemical a Materials Engineeri,776A
CHEMMAT 776B,Thesis - Level 9,CHEMMAT,Chemical a Materials Engineeri,776B
CHEMMAT 777A,Thesis - Level 9,CHEMMAT,Chemical a Materials Engineeri,777A
CHEMMAT 777B,Thesis - Level 9,CHEMMAT,Chemical a Materials Engineeri,777B
CHEMMAT 778,Dairy Process Engineering,CHEMMAT,Chemical a Materials Engineeri,778
CHEMMAT 779A,Research Project - Level 9,CHEMMAT,Chemical a Materials Engineeri,779A
CHEMMAT 779B,Research Project - Level 9,CHEMMAT,Chemical a Materials Engineeri,779B
CHEMMAT 780,Research Project,CHEMMAT,Chemical a Materials Engineeri,780
CHEMMAT 780A,Research Project,CHEMMAT,Chemical a Materials Engineeri,780A
CHEMMAT 780B,Research Project,CHEMMAT,Chemical a Materials Engineeri,780B
CHEMMAT 787,Project X,CHEMMAT,Chemical a Materials Engineeri,787
CHEMMAT 788,Research Project,CHEMMAT,Chemical a Materials Engineeri,788
CHEMMAT 788A,Research Project,CHEMMAT,Chemical a Materials Engineeri,788A
CHEMMAT 788B,Research Project,CHEMMAT,Chemical a Materials Engineeri,788B
CHEMMAT 789,Project Z,CHEMMAT,Chemical a Materials Engineeri,789
CHEMMAT 795,Research Project,CHEMMAT,Chemical a Materials Engineeri,795
CHEMMAT 795A,Research Project,CHEMMAT,Chemical a Materials Engineeri,795A
CHEMMAT 795B,Research Project,CHEMMAT,Chemical a Materials Engineeri,795B
CHEMMAT 796A,ME Thesis (Chemical and Materials),CHEMMAT,Chemical a Materials Engineeri,796A
CHEMMAT 796B,ME Thesis (Chemical and Materials),CHEMMAT,Chemical a Materials Engineeri,796B
CHINESE 100,Beginning Modern Chinese 1,CHINESE,Chinese,100
CHINESE 100G,Beginning Modern Chinese 1,CHINESE,Chinese,100G
CHINESE 101,Beginning Modern Chinese 2,CHINESE,Chinese,101
CHINESE 178,Chinese Study Abroad 1,CHINESE,Chinese,178
CHINESE 200,Intermediate Modern Chinese 1,CHINESE,Chinese,200
CHINESE 201,Intermediate Modern Chinese 2,CHINESE,Chinese,201
CHINESE 203,China on Screen,CHINESE,Chinese,203
CHINESE 213,Special Topic,CHINESE,Chinese,213
CHINESE 277,Chinese Study Abroad 2A,CHINESE,Chinese,277
CHINESE 278,Chinese Study Abroad 2B,CHINESE,Chinese,278
CHINESE 300,Advanced Modern Chinese 1,CHINESE,Chinese,300
CHINESE 301,Advanced Modern Chinese 2,CHINESE,Chinese,301
CHINESE 302,Advanced Chinese Reading and Writing,CHINESE,Chinese,302
CHINESE 303,China on Screen,CHINESE,Chinese,303
CHINESE 306,Chinese Translation,CHINESE,Chinese,306
CHINESE 313,Special Topic,CHINESE,Chinese,313
CHINESE 339,Chinese Linguistics,CHINESE,Chinese,339
CHINESE 377,Chinese Study Abroad 3A,CHINESE,Chinese,377
CHINESE 378,Chinese Study Abroad 3B,CHINESE,Chinese,378
CHINESE 724,Chinese Film and Popular Culture,CHINESE,Chinese,724
CHINESE 729A,Special Topic,CHINESE,Chinese,729A
CHINESE 729B,Special Topic,CHINESE,Chinese,729B
CHINESE 730,Directed Study,CHINESE,Chinese,730
CHINESE 730A,Directed Study,CHINESE,Chinese,730A
CHINESE 730B,Directed Study,CHINESE,Chinese,730B
CHINESE 731,Research Essay,CHINESE,Chinese,731
CHINESE 732,Directed Study,CHINESE,Chinese,732
CHINESE 737,Research Essay,CHINESE,Chinese,737
CHINESE 739,Educational Linguistics in Chinese,CHINESE,Chinese,739
CHINESE 740,Chinese Teaching Pedagogy,CHINESE,Chinese,740
CHINESE 741,Acquisition of Chinese,CHINESE,Chinese,741
CHINESE 742,Professional Learning for Chinese Teachers,CHINESE,Chinese,742
CHINESE 777,Chinese Study Abroad I,CHINESE,Chinese,777
CHINESE 778,Chinese Study Abroad II,CHINESE,Chinese,778
CHINESE 780,Research Project,CHINESE,Chinese,780
CHINESE 780A,Research Project,CHINESE,Chinese,780A
CHINESE 780B,Research Project,CHINESE,Chinese,780B
CHINESE 782,Research Essay,CHINESE,Chinese,782
CHINESE 791,Dissertation,CHINESE,Chinese,791
CHINESE 792,Dissertation,CHINESE,Chinese,792
CHINESE 792A,Dissertation,CHINESE,Chinese,792A
CHINESE 792B,Dissertation,CHINESE,Chinese,792B
CHINESE 793A,Thesis,CHINESE,Chinese,793A
CHINESE 793B,Thesis,CHINESE,Chinese,793B
CHINESE 796A,Thesis,CHINESE,Chinese,796A
CHINESE 796B,Thesis,CHINESE,Chinese,796B
CHINESE 797A,Research Portfolio,CHINESE,Chinese,797A
CHINESE 797B,Research Portfolio,CHINESE,Chinese,797B
CIVIL 200,Introduction to Geotechnical Engineering,CIVIL,Civil Engineering,200
CIVIL 201,Land Information Systems,CIVIL,Civil Engineering,201
CIVIL 202,Fluid Mechanics and Pipe Flow,CIVIL,Civil Engineering,202
CIVIL 203,Transport Design and Geomatics,CIVIL,Civil Engineering,203
CIVIL 210,Introduction to Structures,CIVIL,Civil Engineering,210
CIVIL 211,Structures and Design 1,CIVIL,Civil Engineering,211
CIVIL 220,Introductory Engineering Geology,CIVIL,Civil Engineering,220
CIVIL 221,Geomechanics 1,CIVIL,Civil Engineering,221
CIVIL 230,Fluid Mechanics 1,CIVIL,Civil Engineering,230
CIVIL 250,Civil Engineering Materials and Design,CIVIL,Civil Engineering,250
CIVIL 270,Directed Study,CIVIL,Civil Engineering,270
CIVIL 271,Directed Study,CIVIL,Civil Engineering,271
CIVIL 299,Workshop Practice,CIVIL,Civil Engineering,299
CIVIL 300,Geotechnical Engineering,CIVIL,Civil Engineering,300
CIVIL 301,Foundation Engineering,CIVIL,Civil Engineering,301
CIVIL 302,Hydrology and Open Channel Flow,CIVIL,Civil Engineering,302
CIVIL 303,Transport Operations and Pavements,CIVIL,Civil Engineering,303
CIVIL 304,Climate Adaptation Design,CIVIL,Civil Engineering,304
CIVIL 305,Construction Informatics,CIVIL,Civil Engineering,305
CIVIL 312,Structures and Design 2,CIVIL,Civil Engineering,312
CIVIL 313,Structures and Design 3,CIVIL,Civil Engineering,313
CIVIL 314,Structural Dynamics,CIVIL,Civil Engineering,314
CIVIL 322,Geomechanics 2,CIVIL,Civil Engineering,322
CIVIL 324,Geomechanics 3,CIVIL,Civil Engineering,324
CIVIL 331,Hydraulic Engineering,CIVIL,Civil Engineering,331
CIVIL 332,Fluid Mechanics 2,CIVIL,Civil Engineering,332
CIVIL 360,Transportation Engineering 1,CIVIL,Civil Engineering,360
CIVIL 361,Transportation Engineering 2,CIVIL,Civil Engineering,361
CIVIL 370,Directed Study,CIVIL,Civil Engineering,370
CIVIL 371,Directed Study,CIVIL,Civil Engineering,371
CIVIL 700,Geotechnical Analysis,CIVIL,Civil Engineering,700
CIVIL 701,Studies in Civil Engineering 1,CIVIL,Civil Engineering,701
CIVIL 702,Design of Earthquake Resistant Foundations,CIVIL,Civil Engineering,702
CIVIL 703,Project Management in Built Environments,CIVIL,Civil Engineering,703
CIVIL 704,Advanced Topics in Project Management,CIVIL,Civil Engineering,704
CIVIL 705A,Research Project - Level 9,CIVIL,Civil Engineering,705A
CIVIL 705B,Research Project,CIVIL,Civil Engineering,705B
CIVIL 706,Special Topic: Water-sensitive Cities,CIVIL,Civil Engineering,706
CIVIL 707,Construction Supply Chain Management,CIVIL,Civil Engineering,707
CIVIL 710,Advanced Structural Dynamics,CIVIL,Civil Engineering,710
CIVIL 711,Structures Seminar,CIVIL,Civil Engineering,711
CIVIL 713,Structures and Design 4,CIVIL,Civil Engineering,713
CIVIL 714,Multistorey Building Design,CIVIL,Civil Engineering,714
CIVIL 715,Advanced Structural Concrete - Level 9,CIVIL,Civil Engineering,715
CIVIL 716,Construction Risk Management,CIVIL,Civil Engineering,716
CIVIL 717,Advanced Structural Timber,CIVIL,Civil Engineering,717
CIVIL 718,Light Gauge Steel,CIVIL,Civil Engineering,718
CIVIL 719,Matrix Structural Analysis,CIVIL,Civil Engineering,719
CIVIL 720,Earthquake Engineering,CIVIL,Civil Engineering,720
CIVIL 721,Foundation Engineering,CIVIL,Civil Engineering,721
CIVIL 722,Slope Engineering,CIVIL,Civil Engineering,722
CIVIL 724,Soil Behaviour,CIVIL,Civil Engineering,724
CIVIL 725,Geotechnical Earthquake Engineering,CIVIL,Civil Engineering,725
CIVIL 726,Engineering Geology,CIVIL,Civil Engineering,726
CIVIL 727,Dynamics of Structures in Earthquakes,CIVIL,Civil Engineering,727
CIVIL 728,Geotechnical Engineering in Professional Practice,CIVIL,Civil Engineering,728
CIVIL 729,Humanitarian Engineering,CIVIL,Civil Engineering,729
CIVIL 731,Water Resources Modelling,CIVIL,Civil Engineering,731
CIVIL 732,Coastal Engineering Design,CIVIL,Civil Engineering,732
CIVIL 733,Coastal Engineering Dynamics,CIVIL,Civil Engineering,733
CIVIL 734,River Engineering,CIVIL,Civil Engineering,734
CIVIL 735,Transport Modelling and Design,CIVIL,Civil Engineering,735
CIVIL 736,Transport Safety and Mobility,CIVIL,Civil Engineering,736
CIVIL 737,Coastal Modelling,CIVIL,Civil Engineering,737
CIVIL 738,Construction 4.0: The Future of Construction,CIVIL,Civil Engineering,738
CIVIL 740,Studies in Civil Engineering 3,CIVIL,Civil Engineering,740
CIVIL 741,Ground Improvements and Geosynthetics Engineering,CIVIL,Civil Engineering,741
CIVIL 742,Bridge Design,CIVIL,Civil Engineering,742
CIVIL 743,Special Topic: Building Information Modelling,CIVIL,Civil Engineering,743
CIVIL 744,Special Study in Earthquake Engineering,CIVIL,Civil Engineering,744
CIVIL 745,Seismic Assessment of Existing Buildings - Level 9,CIVIL,Civil Engineering,745
CIVIL 746,Nonlinear Structural Analysis,CIVIL,Civil Engineering,746
CIVIL 750,Timber Engineering,CIVIL,Civil Engineering,750
CIVIL 754,Geotechnical Modelling,CIVIL,Civil Engineering,754
CIVIL 756,Capstone Project,CIVIL,Civil Engineering,756
CIVIL 761,Planning and Design of Transport Facilities,CIVIL,Civil Engineering,761
CIVIL 762,Transport Planning and Modelling,CIVIL,Civil Engineering,762
CIVIL 763,Smart Infrastructure Analytics,CIVIL,Civil Engineering,763
CIVIL 764,Highway Safety and Operations,CIVIL,Civil Engineering,764
CIVIL 765,Infrastructure Asset Management - Level 9,CIVIL,Civil Engineering,765
CIVIL 766,Transportation Asset Management,CIVIL,Civil Engineering,766
CIVIL 767,Pavement Analysis and Design,CIVIL,Civil Engineering,767
CIVIL 769,Highway Geometric Design,CIVIL,Civil Engineering,769
CIVIL 770,Transport Systems Economics,CIVIL,Civil Engineering,770
CIVIL 771,Planning and Managing Transport,CIVIL,Civil Engineering,771
CIVIL 773,Sustainable Transport: Planning and Design,CIVIL,Civil Engineering,773
CIVIL 774,Studies in Transportation 1,CIVIL,Civil Engineering,774
CIVIL 779A,Research Project in Transportation,CIVIL,Civil Engineering,779A
CIVIL 779B,Research Project in Transportation,CIVIL,Civil Engineering,779B
CIVIL 781,Civil Engineering Planning and Execution,CIVIL,Civil Engineering,781
CIVIL 782,Water Resources Engineering,CIVIL,Civil Engineering,782
CIVIL 783,Water Distribution System Modelling and Analysis,CIVIL,Civil Engineering,783
CIVIL 787,Project X,CIVIL,Civil Engineering,787
CIVIL 788,Research Project,CIVIL,Civil Engineering,788
CIVIL 788A,Research Project,CIVIL,Civil Engineering,788A
CIVIL 788B,Research Project,CIVIL,Civil Engineering,788B
CIVIL 789,Project Z,CIVIL,Civil Engineering,789
CIVIL 790,Civil Engineering Administration,CIVIL,Civil Engineering,790
CIVIL 791,Construction Management,CIVIL,Civil Engineering,791
CIVIL 792,Discrete-event Simulation in Construction,CIVIL,Civil Engineering,792
CIVIL 793A,Thesis,CIVIL,Civil Engineering,793A
CIVIL 793B,Thesis,CIVIL,Civil Engineering,793B
CIVIL 794A,Thesis,CIVIL,Civil Engineering,794A
CIVIL 794B,Thesis,CIVIL,Civil Engineering,794B
CIVIL 795,Research Project (Civil),CIVIL,Civil Engineering,795
CIVIL 795A,Research Project (Civil),CIVIL,Civil Engineering,795A
CIVIL 795B,Research Project (Civil),CIVIL,Civil Engineering,795B
CIVIL 796A,Thesis,CIVIL,Civil Engineering,796A
CIVIL 796B,Thesis,CIVIL,Civil Engineering,796B
CLINED 703,Learning in Small Groups,CLINED,Clinical Education,703
CLINED 705,Simulation and Clinical Skills Teaching,CLINED,Clinical Education,705
CLINED 706,"Interprofessional Learning, Teamwork and Patient Safety",CLINED,Clinical Education,706
CLINED 707,Advanced Studies in Clinical Education,CLINED,Clinical Education,707
CLINED 710,Special Studies,CLINED,Clinical Education,710
CLINED 711,E-learning and Clinical Education,CLINED,Clinical Education,711
CLINED 712,Curriculum and Course Design,CLINED,Clinical Education,712
CLINED 713,Clinical Supervision,CLINED,Clinical Education,713
CLINED 715,Theory and Practice of Clinical Education,CLINED,Clinical Education,715
CLINED 716,Assessing Clinical Performance,CLINED,Clinical Education,716
CLINED 717,Advanced E-Learning in Clinical Education,CLINED,Clinical Education,717
CLINED 718,Professionalism in Clinical Education,CLINED,Clinical Education,718
CLINED 719,Clinical Education in Action,CLINED,Clinical Education,719
CLINED 720,Foundations of Cultural Safety for Clinical Education,CLINED,Clinical Education,720
CLINED 721,Special Topic,CLINED,Clinical Education,721
CLINED 722,Special Topic,CLINED,Clinical Education,722
CLINED 790,Dissertation,CLINED,Clinical Education,790
CLINED 790A,Dissertation,CLINED,Clinical Education,790A
CLINED 790B,Dissertation,CLINED,Clinical Education,790B
CLINED 795A,Research Portfolio,CLINED,Clinical Education,795A
CLINED 795B,Research Portfolio,CLINED,Clinical Education,795B
CLINED 796A,Thesis,CLINED,Clinical Education,796A
CLINED 796B,Thesis,CLINED,Clinical Education,796B
CLINED 797A,Research Portfolio,CLINED,Clinical Education,797A
CLINED 797B,Research Portfolio,CLINED,Clinical Education,797B
CLINIMAG 201,Radiographic Clinical Practice I,CLINIMAG,Clinical Imaging,201
CLINIMAG 303A,Radiographic Clinical Practice II,CLINIMAG,Clinical Imaging,303A
CLINIMAG 303B,Radiographic Clinical Practice II,CLINIMAG,Clinical Imaging,303B
CLINIMAG 402A,Radiographic Clinical Practice III,CLINIMAG,Clinical Imaging,402A
CLINIMAG 402B,Radiographic Clinical Practice III,CLINIMAG,Clinical Imaging,402B
CLINIMAG 706,Nuclear Medicine Specialised Clinical Applications,CLINIMAG,Clinical Imaging,706
CLINIMAG 707,CT Clinical Practice,CLINIMAG,Clinical Imaging,707
CLINIMAG 710,MRI Clinical Applications 1,CLINIMAG,Clinical Imaging,710
CLINIMAG 711,Body MRI,CLINIMAG,Clinical Imaging,711
CLINIMAG 712,MRI Clinical Practice,CLINIMAG,Clinical Imaging,712
CLINIMAG 713,Ultrasound in Women’s Health,CLINIMAG,Clinical Imaging,713
CLINIMAG 715,Ultrasound Clinical Practice,CLINIMAG,Clinical Imaging,715
CLINIMAG 716,Nuclear Medicine Clinical Practice,CLINIMAG,Clinical Imaging,716
CLINIMAG 718,Special Topic,CLINIMAG,Clinical Imaging,718
CLINIMAG 719,Ultrasound Abdominal Clinical Applications,CLINIMAG,Clinical Imaging,719
CLINIMAG 720,Ultrasound Specialised Clinical Applications,CLINIMAG,Clinical Imaging,720
CLINIMAG 721,Mammographic Practice,CLINIMAG,Clinical Imaging,721
CLINIMAG 722,Extended Mammographic Practice,CLINIMAG,Clinical Imaging,722
CLINIMAG 723,PET-CT Imaging,CLINIMAG,Clinical Imaging,723
CLINIMAG 724,Cardiac Ultrasound Clinical Practice,CLINIMAG,Clinical Imaging,724
CLINIMAG 725,PET-CT Clinical Practice,CLINIMAG,Clinical Imaging,725
CLINIMAG 726,Ultrasound Applications I,CLINIMAG,Clinical Imaging,726
CLINIMAG 727,Ultrasound Gynaecology,CLINIMAG,Clinical Imaging,727
CLINIMAG 728,Ultrasound Obstetrics,CLINIMAG,Clinical Imaging,728
CLINIMAG 729,Ultrasound Applications II,CLINIMAG,Clinical Imaging,729
CLINIMAG 730,Neurological MRI,CLINIMAG,Clinical Imaging,730
CLINIMAG 731,Musculoskeletal MRI,CLINIMAG,Clinical Imaging,731
COMLAW 101,Law in a Business Environment,COMLAW,Commercial Law,101
COMLAW 201,Commercial Contracts,COMLAW,Commercial Law,201
COMLAW 203,Company Law,COMLAW,Commercial Law,203
COMLAW 300,Directed Study,COMLAW,Commercial Law,300
COMLAW 301,Taxation,COMLAW,Commercial Law,301
COMLAW 303,Insolvency Law,COMLAW,Commercial Law,303
COMLAW 305,Financial Markets Law,COMLAW,Commercial Law,305
COMLAW 306,Marketing Law,COMLAW,Commercial Law,306
COMLAW 311,Advanced Taxation,COMLAW,Commercial Law,311
COMLAW 314,Employment Law,COMLAW,Commercial Law,314
COMLAW 316,Commercial Law in Context,COMLAW,Commercial Law,316
COMLAW 318,Special Topic,COMLAW,Commercial Law,318
COMLAW 320,"Innovation, Technology, and the Law",COMLAW,Commercial Law,320
COMLAW 700,Directed Study,COMLAW,Commercial Law,700
COMLAW 703,"Legal Research, Writing and Contemporary Issues",COMLAW,Commercial Law,703
COMLAW 740A,The Tax Base,COMLAW,Commercial Law,740A
COMLAW 740B,The Tax Base,COMLAW,Commercial Law,740B
COMLAW 747,Goods and Services Tax,COMLAW,Commercial Law,747
