course_code,course_title,subject,subject_name,course_number
ANCIENT 300,Greek and Roman Epic Poetry,ANCIENT,Classical Studs & Ancient Hist,300
ANCIENT 301,Special Topic,ANCIENT,Classical Studs & Ancient Hist,301
ANCIENT 304,Directed Study,ANCIENT,Classical Studs & Ancient Hist,304
ANCIENT 310,Egyptian Language 2A,ANCIENT,Classical Studs & Ancient Hist,310
ANCIENT 311,Ancient Greek Language: Intermediate,ANCIENT,Classical Studs & Ancient Hist,311
ANCIENT 314,Ancient Barbarians and Others,ANCIENT,Classical Studs & Ancient Hist,314
ANCIENT 315,Hellenistic Society,ANCIENT,Classical Studs & Ancient Hist,315
ANCIENT 316,Sex and Power in Greece and Rome,ANCIENT,Classical Studs & Ancient Hist,316
ANCIENT 317,Special Topic,ANCIENT,Classical Studs & Ancient Hist,317
ANCIENT 321,Ancient Greek Literary Texts,ANCIENT,Classical Studs & Ancient Hist,321
ANCIENT 351,Ancient Egyptian Art: Icon and Narrative,ANCIENT,Classical Studs & Ancient Hist,351
ANCIENT 352,Egyptian Religion,ANCIENT,Classical Studs & Ancient Hist,352
ANCIENT 353,Early Egypt,ANCIENT,Classical Studs & Ancient Hist,353
ANCIENT 354,Early Rome,ANCIENT,Classical Studs & Ancient Hist,354
ANCIENT 355,The Later Roman Empire,ANCIENT,Classical Studs & Ancient Hist,355
ANCIENT 356,The Ancient World at War,ANCIENT,Classical Studs & Ancient Hist,356
ANCIENT 360,Roman Revolutions,ANCIENT,Classical Studs & Ancient Hist,360
ANCIENT 377,Study Abroad (Rome),ANCIENT,Classical Studs & Ancient Hist,377
ANCIENT 378,Study Abroad (Greece),ANCIENT,Classical Studs & Ancient Hist,378
ANCIENT 379,Study Abroad (Egypt),ANCIENT,Classical Studs & Ancient Hist,379
ANCIENT 380,Art and Society in Ancient Rome,ANCIENT,Classical Studs & Ancient Hist,380
ANCIENT 385,Classical Tragedy,ANCIENT,Classical Studs & Ancient Hist,385
ANCIENT 702,Methods and Approaches,ANCIENT,Classical Studs & Ancient Hist,702
ANCIENT 719,Directed Study in Ancient Culture,ANCIENT,Classical Studs & Ancient Hist,719
ANCIENT 719A,Directed Study in Ancient Culture,ANCIENT,Classical Studs & Ancient Hist,719A
ANCIENT 719B,Directed Study in Ancient Culture,ANCIENT,Classical Studs & Ancient Hist,719B
ANCIENT 727,Directed Study in Ancient Culture,ANCIENT,Classical Studs & Ancient Hist,727
ANCIENT 727A,Directed Study in Ancient Culture,ANCIENT,Classical Studs & Ancient Hist,727A
ANCIENT 727B,Directed Study in Ancient Culture,ANCIENT,Classical Studs & Ancient Hist,727B
ANCIENT 728,Directed Study in Ancient Culture,ANCIENT,Classical Studs & Ancient Hist,728
ANCIENT 728A,Directed Study in Ancient Culture,ANCIENT,Classical Studs & Ancient Hist,728A
ANCIENT 728B,Directed Study in Ancient Culture,ANCIENT,Classical Studs & Ancient Hist,728B
ANCIENT 729,Egyptian Language (Higher),ANCIENT,Classical Studs & Ancient Hist,729
ANCIENT 729A,Egyptian Language (Higher),ANCIENT,Classical Studs & Ancient Hist,729A
ANCIENT 729B,Egyptian Language (Higher),ANCIENT,Classical Studs & Ancient Hist,729B
ANCIENT 739,Greek Language (Higher),ANCIENT,Classical Studs & Ancient Hist,739
ANCIENT 739A,Greek Language (Higher),ANCIENT,Classical Studs & Ancient Hist,739A
ANCIENT 739B,Greek Language (Higher),ANCIENT,Classical Studs & Ancient Hist,739B
ANCIENT 741,Latin Language (Higher),ANCIENT,Classical Studs & Ancient Hist,741
ANCIENT 741A,Latin Language (Higher),ANCIENT,Classical Studs & Ancient Hist,741A
ANCIENT 741B,Latin Language (Higher),ANCIENT,Classical Studs & Ancient Hist,741B
